Graph;Vertices;Edges;Prim's A.;MST Weight;Time(ms);Operations;Kruskal's A.;MST Weight;Time(ms);Operations;;;;
Small-1;9;14;;37;2;205;;37;2;589;;;;
Small-2;9;16;;32;2;227;;32;2;479;;;;
Small-3;12;22;;57;2;291;;57;2;947;;;;THE RANGE OF WEIGHT 1-15
Small-4;20;38;;113;3;587;;113;3;5631;;;;
Small-5;17;25;;101;3;386;;101;2;2132;;;;
Medium-1;33;211;;50;4;2056;;50;4;13306;;;;
Medium-2;50;475;;78;5;4530;;78;4;83438;;;;
Medium-3;77;1087;;98;6;8916;;98;5;122324;;;;
Medium-4;85;1305;;98;8;10818;;98;7;345649;;;;
Medium-5;100;1745;;109;10;13856;;109;8;268349;;;;
Medium-6;132;3153;;135;11;24656;;135;8;473560;;;;
Medium-7;124;2758;;126;10;21731;;126;9;773451;;;;
Medium-8;140;408;;484;6;5857;;484;4;502607;;;;
Medium-9;270;927;;848;8;12334;;848;8;2259837;;;;
Medium-10;300;1031;;861;9;13458;;861;7;2397972;;;;
Large-1;303;1192;;857;10;15527;;857;8;3927048;;;;
Large-2;404;1591;;1021;11;18658;;1021;8;3474853;;;;
Large-3;555;2187;;1537;11;27676;;1537;9;11073107;;;;
Large-4;666;1953;;2289;12;29084;;2289;9;15376319;;;;
Large-5;777;2288;;2656;12;30555;;2656;9;14612175;;;;
Large-6;888;4405;;2071;15;50236;;2071;11;25868168;;;;
Large-7;709;3954;;1463;16;43057;;1463;12;17253646;;;;
Large-8;999;6233;;1891;19;67198;;1891;13;34313923;;;;
Large-9;802;5981;;1367;18;61456;;1367;12;27847701;;;;
Large-10;911;6849;;1609;20;72190;;1609;14;55052618;;;;
ExtraLarge-1;1111;6904;;2194;20;74991;;2194;15;53442554;;;;
ExtraLarge-2;1222;7608;;2300;23;81365;;2300;16;67990425;;;;
ExtraLarge-3;1555;8704;;3307;29;112479;;3307;21;207978397;;;;
